SKU,Category,UnitCost,StorePrice,CostChangePct,Competitor_BigBoxDepot,Competitor_ValueMart,Competitor_QuickShop,WeeklyUnitsSold,DaysSinceLastChange,ElectronicShelfLabel,RelabelCost,Relabel
SKU10032,Apparel,7.5,13.33,2.89,11.08,12.49,11.0,54,216,0,0.43,1
SKU10033,Electronics,37.5,54.27,1.89,58.68,48.24,47.57,33,318,1,0.1,1
SKU10034,Grocery,3.24,4.77,-2.08,5.05,4.87,4.88,69,117,0,0.53,0
SKU10035,PersonalCare,4.49,5.49,8.17,5.76,6.92,6.51,90,92,0,0.46,0
SKU10036,Electronics,31.8,45.06,8.07,41.71,53.53,48.56,91,93,1,0.04,0
SKU10037,Household,3.75,4.71,-3.26,4.46,6.65,5.31,98,7,0,2.18,1
SKU10038,PersonalCare,6.12,7.57,3.91,7.86,7.8,9.18,28,79,0,1.13,0
SKU10039,Grocery,2.83,4.34,-0.93,3.74,4.33,4.09,88,135,1,0.1,1
SKU10040,Apparel,20.64,35.92,4.9,32.01,29.25,29.4,53,306,1,0.09,1
SKU10041,Grocery,3.27,4.42,-1.45,4.94,4.43,5.23,24,304,0,0.98,0
SKU10042,Grocery,4.98,7.56,-3.01,6.24,7.51,7.88,98,282,0,1.4,0
SKU10043,Apparel,8.02,11.66,3.64,12.33,13.7,12.86,45,130,1,0.08,0
SKU10044,Grocery,4.06,6.41,-0.47,5.59,5.25,6.11,28,81,1,0.08,0
SKU10045,Household,10.85,19.01,2.63,15.94,15.92,15.13,27,339,1,0.05,0
SKU10046,Electronics,61.46,79.45,-0.1,89.23,96.83,81.36,42,305,0,1.13,0
SKU10047,Grocery,3.03,4.73,-2.73,4.29,4.0,4.21,45,127,0,1.6,0
SKU10048,Apparel,9.22,15.91,-8.64,14.7,14.1,11.95,52,345,0,1.82,0
SKU10049,Household,16.58,25.79,5.62,21.27,21.92,22.21,47,254,0,2.09,1
SKU10050,Electronics,40.49,56.55,2.93,61.41,59.86,58.11,90,99,1,0.03,1
SKU10051,Household,4.6,5.7,-6.97,7.44,6.63,6.49,108,57,1,0.09,0
SKU10052,Household,7.16,10.91,-2.75,10.05,11.94,10.25,45,30,0,1.83,0
SKU10053,Household,9.12,13.77,0.59,12.56,14.33,13.26,66,179,0,2.37,0
SKU10054,Household,5.72,8.21,6.81,7.66,7.97,9.23,37,171,0,1.71,0
SKU10055,Apparel,16.59,23.3,4.39,24.45,23.76,23.18,67,113,0,1.58,0
SKU10056,Electronics,66.33,82.79,4.77,98.73,86.42,81.85,41,26,1,0.09,1
SKU10057,Household,7.74,10.91,3.15,11.48,12.07,11.32,44,155,1,0.1,0
SKU10058,Grocery,5.44,8.36,1.53,6.57,6.31,8.11,44,52,0,0.58,0
SKU10059,Apparel,13.12,23.27,2.08,21.7,21.12,19.75,57,263,0,0.46,1
SKU10060,Household,6.41,10.92,3.25,9.97,8.42,11.33,23,270,1,0.09,0
SKU10061,Grocery,7.04,9.86,-0.83,10.04,9.45,8.85,55,152,1,0.03,0
SKU10062,Household,10.49,17.94,-6.67,15.87,15.64,13.89,31,328,0,1.53,1
SKU10063,Grocery,3.64,5.3,3.04,4.72,5.15,5.3,60,102,1,0.05,0
SKU10064,PersonalCare,2.65,3.67,0.78,3.96,3.49,3.96,46,101,1,0.09,0
SKU10065,PersonalCare,3.2,4.75,-4.48,4.36,4.56,4.84,32,15,0,0.49,0
SKU10066,Grocery,1.64,2.3,0.59,2.45,2.77,2.67,45,250,0,1.05,0
SKU10067,Household,7.77,10.74,6.1,10.32,10.8,10.4,9,140,0,0.44,1
SKU10068,Apparel,13.67,23.08,-2.07,19.05,16.83,21.11,49,163,0,1.38,0
SKU10069,Grocery,4.17,6.44,0.22,6.29,7.02,6.0,71,39,1,0.09,0
SKU10070,Electronics,70.77,126.25,-0.33,97.9,91.92,115.6,69,299,0,2.39,0
SKU10071,Household,3.99,6.36,-1.95,5.85,5.5,5.41,36,206,0,1.17,1
SKU10072,Apparel,7.58,13.51,-1.29,10.89,12.14,10.74,22,37,1,0.08,1
SKU10073,PersonalCare,3.94,5.98,0.65,6.33,5.85,5.45,36,24,0,1.14,0
SKU10074,PersonalCare,7.28,11.23,5.03,11.25,11.05,9.83,61,129,0,0.76,0
SKU10075,Electronics,50.66,90.89,1.96,74.5,75.08,81.28,59,95,0,0.68,1
SKU10076,Grocery,2.17,3.73,4.92,3.78,2.99,3.23,45,37,0,0.78,1
SKU10077,PersonalCare,4.33,5.97,0.67,6.45,6.75,6.88,28,250,0,0.61,1
SKU10078,Grocery,4.1,5.85,1.86,5.66,5.98,6.63,40,9,0,0.45,0
SKU10079,Grocery,3.57,5.93,-4.79,5.96,4.44,5.03,28,363,0,1.83,0
SKU10080,Grocery,5.45,8.28,3.21,7.65,8.3,8.36,85,62,0,0.79,0
SKU10081,Apparel,9.62,11.77,5.05,13.53,13.6,15.15,74,344,0,0.8,1
SKU10082,Household,7.43,13.3,1.81,9.93,11.58,11.43,31,331,1,0.05,1
SKU10083,Grocery,2.22,3.35,5.61,3.18,3.27,3.62,38,198,0,2.32,0
SKU10084,Grocery,5.79,7.72,6.21,8.9,7.53,8.72,37,330,0,0.58,1
SKU10085,Electronics,70.42,113.75,2.13,88.25,90.11,85.71,31,7,0,2.48,1
SKU10086,Household,9.84,16.6,3.39,14.11,15.33,15.79,39,302,0,1.85,0
SKU10087,Electronics,68.87,96.95,9.27,87.69,93.62,80.7,70,121,1,0.04,1
SKU10088,Electronics,82.57,134.29,-1.51,133.27,109.06,127.06,26,128,0,1.68,0
SKU10089,PersonalCare,11.41,15.51,3.11,16.55,16.36,18.39,29,19,0,2.08,0
SKU10090,PersonalCare,12.73,21.38,8.82,20.6,19.61,16.32,66,110,0,2.06,0
SKU10091,Grocery,2.52,3.74,-0.88,3.61,3.9,3.2,45,38,0,1.09,0
SKU10092,PersonalCare,4.17,5.76,9.07,5.26,5.8,6.21,60,102,1,0.04,0
SKU10093,Apparel,24.77,29.92,2.16,34.53,35.52,38.16,100,280,0,0.48,1
SKU10094,Electronics,37.05,52.02,-0.96,70.61,65.75,54.12,57,280,0,2.24,1
SKU10095,Electronics,20.32,25.33,4.03,29.47,25.95,25.99,74,353,1,0.06,0
SKU10096,Household,6.5,9.29,4.86,10.27,8.64,10.82,61,96,0,2.39,1
SKU10097,PersonalCare,9.45,14.59,-0.11,12.75,13.89,14.32,76,74,0,1.67,0
SKU10098,Grocery,2.83,4.59,2.6,3.96,4.46,3.58,21,167,1,0.02,0
SKU10099,Electronics,63.23,90.67,0.32,98.19,88.36,98.25,33,238,0,1.63,0
SKU10100,Apparel,16.02,24.98,-0.47,25.81,23.15,18.21,42,261,0,1.36,0
SKU10101,Grocery,1.91,2.85,3.3,3.03,3.2,2.88,50,303,1,0.03,0
SKU10102,Electronics,55.02,91.33,5.63,73.15,83.69,66.69,44,158,1,0.09,1
SKU10103,Household,8.03,12.47,-1.43,10.14,12.93,12.1,53,188,1,0.08,1
SKU10104,Apparel,10.93,15.99,1.13,14.02,13.38,16.19,83,311,1,0.08,0
SKU10105,Grocery,1.84,2.91,9.77,2.5,2.43,2.95,34,145,1,0.09,1
SKU10106,Electronics,92.18,126.71,4.06,129.01,144.47,135.32,51,192,0,2.24,0
SKU10107,PersonalCare,3.98,6.95,-4.05,5.98,7.15,5.5,21,64,0,0.62,0
SKU10108,Electronics,18.0,31.36,4.79,22.37,29.33,23.07,12,340,0,1.78,1
SKU10109,Grocery,5.08,6.81,-2.86,6.52,9.07,6.67,114,116,1,0.08,0
SKU10110,Electronics,36.78,59.72,-4.26,54.18,53.15,57.68,65,280,0,0.57,0
SKU10111,Grocery,5.95,7.61,1.51,8.6,9.74,8.67,114,146,0,1.95,0
SKU10112,Electronics,42.88,67.83,7.2,60.01,57.86,64.83,51,220,1,0.06,1
SKU10113,Grocery,3.47,6.24,5.47,5.79,4.79,5.11,73,214,0,1.49,1
SKU10114,Grocery,4.55,7.28,7.4,6.03,6.79,5.91,29,224,1,0.09,1
SKU10115,Grocery,3.68,5.58,5.01,5.7,6.16,5.36,63,264,1,0.02,0
SKU10116,Grocery,3.68,5.18,0.42,5.36,5.2,5.06,55,298,1,0.08,0
SKU10117,Electronics,73.08,131.15,3.8,102.65,108.45,88.03,128,360,0,0.43,1
SKU10118,Grocery,2.33,3.32,8.75,3.14,3.84,3.6,27,95,0,0.91,0
SKU10119,Household,10.26,14.67,9.76,12.87,13.26,14.01,26,49,0,1.62,0
SKU10120,Electronics,51.15,76.7,-4.49,66.39,85.82,71.12,78,72,0,1.34,0
SKU10121,PersonalCare,2.92,4.84,3.01,4.09,4.8,4.43,40,251,0,2.41,1
SKU10122,Household,13.15,16.62,-0.86,17.69,19.68,18.46,143,178,0,2.08,0
SKU10123,Grocery,4.94,6.73,5.52,6.68,8.94,6.99,120,243,1,0.03,1
SKU10124,Grocery,6.98,10.8,4.5,9.95,9.35,11.65,34,246,0,1.44,0
SKU10125,Grocery,2.88,3.78,1.8,4.6,4.3,4.24,80,302,1,0.07,1
SKU10126,Electronics,27.46,41.65,-1.02,41.2,44.63,42.96,149,297,0,1.16,0
SKU10127,Apparel,55.61,88.32,3.48,80.38,85.1,62.36,33,8,1,0.08,1
SKU10128,Household,5.06,6.8,1.46,6.73,6.65,7.28,65,189,1,0.05,0
SKU10129,Electronics,31.51,42.99,2.36,44.51,44.03,47.22,39,128,0,2.48,0
SKU10130,PersonalCare,7.7,12.24,1.19,11.36,9.87,10.7,15,96,1,0.1,0
SKU10131,Apparel,11.52,16.8,3.08,15.63,18.87,18.66,28,106,0,1.46,1
SKU10132,Apparel,16.85,24.0,1.84,25.19,27.99,21.97,76,36,0,0.47,0
SKU10133,PersonalCare,3.31,5.82,5.03,4.76,4.4,4.98,58,235,0,1.38,1
SKU10134,Grocery,1.63,2.57,-9.24,2.46,2.56,2.28,51,91,0,1.31,0
SKU10135,Electronics,35.18,46.89,0.81,64.41,42.59,44.43,87,117,0,0.83,1
SKU10136,Apparel,18.95,25.23,-0.16,27.89,24.35,27.07,48,216,0,2.37,0
SKU10137,Apparel,13.79,21.45,3.06,20.57,20.13,19.11,54,121,1,0.06,0
SKU10138,Grocery,5.99,9.24,5.15,8.4,8.46,9.2,41,339,0,2.38,0
SKU10139,Apparel,12.44,16.24,2.63,19.17,17.19,17.6,37,248,0,1.94,0
SKU10140,Electronics,48.97,61.79,2.04,66.63,72.49,77.21,102,204,1,0.04,0
SKU10141,Household,5.32,7.32,-0.18,7.76,6.85,7.0,78,163,0,1.28,0
SKU10142,Grocery,1.81,3.16,4.68,2.25,2.39,2.52,41,169,0,1.24,1
SKU10143,Household,4.64,7.77,9.06,7.72,7.38,5.5,34,122,0,1.31,0
SKU10144,PersonalCare,4.2,7.31,3.46,6.61,5.33,6.42,77,158,1,0.04,1
SKU10145,Grocery,8.46,13.52,2.68,11.25,15.77,10.18,68,100,0,1.35,1
SKU10146,Grocery,1.96,3.31,3.48,3.22,2.67,3.17,47,8,1,0.1,0
SKU10147,Household,5.38,9.61,-0.39,7.95,7.62,7.69,27,146,0,0.55,1
SKU10148,Grocery,6.48,10.85,-1.35,9.88,9.47,8.62,37,192,0,1.93,0
SKU10149,Grocery,2.59,3.51,-1.56,3.8,4.07,3.91,25,351,0,0.96,0
SKU10150,PersonalCare,7.82,9.66,2.44,11.1,10.55,11.42,48,285,0,2.2,0
SKU10151,Grocery,1.26,2.11,4.62,1.95,1.56,1.52,45,12,1,0.09,1
SKU10152,Electronics,29.07,51.42,2.88,40.76,40.36,44.48,80,333,0,1.71,1
SKU10153,Grocery,4.4,6.12,0.45,5.82,7.13,7.53,49,276,0,2.19,1
SKU10154,Electronics,20.96,33.18,4.18,33.68,30.02,25.45,51,86,0,0.56,1
SKU10155,Grocery,3.79,5.05,0.38,5.45,5.61,5.52,61,177,0,1.2,0
SKU10156,Apparel,14.21,22.47,3.04,22.07,21.58,22.96,67,127,0,2.09,0
SKU10157,Household,6.21,7.72,-0.46,8.94,9.28,8.62,34,282,0,2.04,0
SKU10158,Grocery,3.09,3.95,3.11,4.8,4.38,3.7,69,184,0,1.51,0
SKU10159,Apparel,19.2,32.59,-2.0,24.16,32.01,27.63,109,190,0,0.83,1
SKU10160,Electronics,43.9,68.89,-4.66,67.55,59.52,67.69,36,325,0,2.09,0
SKU10161,Household,12.43,20.28,3.74,18.63,19.08,16.4,23,340,0,1.47,0
SKU10162,Grocery,4.96,7.05,7.28,6.7,6.79,5.68,18,192,0,1.3,0
SKU10163,Apparel,27.91,48.0,-0.11,42.68,41.01,33.48,45,185,0,1.74,0
SKU10164,Household,6.6,9.09,-8.41,10.1,11.6,8.3,58,292,1,0.07,0
SKU10165,Grocery,3.77,4.83,6.12,5.5,6.1,5.84,37,104,0,1.78,1
SKU10166,PersonalCare,3.73,4.84,2.24,5.77,5.71,4.98,46,152,0,0.88,0
SKU10167,Grocery,4.61,5.92,10.92,6.29,6.67,6.4,51,55,0,2.41,0
SKU10168,Grocery,2.54,4.11,7.47,3.41,4.44,3.76,76,338,1,0.03,1
SKU10169,Household,10.53,18.91,-0.4,13.54,16.83,12.44,104,295,0,0.87,1
SKU10170,Grocery,3.08,4.67,1.54,4.65,4.59,4.28,86,273,0,1.92,0
SKU10171,Grocery,3.23,4.39,3.67,4.76,4.37,4.43,15,89,1,0.06,0
SKU10172,Electronics,49.78,60.44,-0.72,63.03,66.33,71.06,80,341,0,2.16,0
SKU10173,PersonalCare,4.29,7.17,7.94,6.56,6.58,6.04,125,112,0,0.53,0
SKU10174,PersonalCare,4.43,5.79,4.32,6.9,6.38,5.97,73,130,0,1.88,0
SKU10175,Grocery,2.64,4.28,-1.38,4.49,4.08,3.57,34,187,0,0.75,0
SKU10176,PersonalCare,4.69,6.4,7.19,6.78,6.48,6.67,43,154,1,0.07,0
SKU10177,Grocery,4.61,7.68,-3.37,7.59,6.48,6.13,43,140,0,1.38,1
SKU10178,Apparel,11.71,18.45,4.1,14.98,17.73,19.08,38,146,0,0.43,0
SKU10179,Grocery,2.69,3.94,-3.32,4.31,4.28,4.28,51,231,0,2.0,0
SKU10180,Apparel,20.15,27.37,5.72,31.65,27.97,30.15,68,98,0,2.37,0
SKU10181,Apparel,19.0,29.51,-1.49,27.05,28.08,26.47,44,38,0,1.31,1
SKU10182,PersonalCare,5.56,8.99,-0.43,8.61,8.34,7.76,30,57,0,1.83,0
SKU10183,PersonalCare,18.04,22.03,2.96,22.07,25.37,27.85,76,190,0,1.7,1
SKU10184,Grocery,2.17,3.0,3.1,3.17,3.26,3.12,36,238,0,2.46,0
SKU10185,Electronics,92.09,152.34,3.17,138.19,166.31,121.58,15,94,1,0.1,1
SKU10186,Apparel,15.62,21.25,2.19,22.83,29.12,22.94,55,24,0,1.66,0
SKU10187,Grocery,5.46,8.93,-2.25,8.46,6.61,8.06,50,328,1,0.08,1
SKU10188,Electronics,39.04,56.38,0.78,60.35,58.59,57.51,52,223,1,0.07,0
SKU10189,Grocery,5.87,9.46,1.66,7.59,8.57,7.65,56,201,1,0.09,1
SKU10190,Grocery,2.23,3.91,2.92,3.36,3.75,2.88,49,27,0,0.99,0
SKU10191,Household,11.37,14.78,-0.7,15.6,17.0,15.28,82,241,0,2.12,1
SKU10192,Household,8.93,15.67,4.63,14.24,12.4,11.62,51,84,0,1.2,1
SKU10193,Electronics,67.0,116.17,-0.11,99.58,112.75,84.77,30,246,0,2.39,1
SKU10194,Electronics,35.95,54.13,-0.98,56.58,57.03,55.07,41,239,0,0.42,0
SKU10195,Household,9.61,11.79,-2.2,17.02,12.19,13.25,35,118,0,1.66,1
SKU10196,PersonalCare,4.19,7.06,-2.3,6.74,5.56,5.81,20,77,0,1.61,0
SKU10197,Grocery,2.96,4.6,-2.5,3.61,4.76,4.17,57,326,0,2.05,0
SKU10198,Grocery,3.11,4.32,-1.05,4.11,4.59,3.67,101,92,1,0.06,0
SKU10199,Household,6.05,7.41,7.38,8.82,8.04,9.05,67,279,0,1.97,0
SKU10200,Apparel,11.15,15.97,1.65,16.66,16.86,15.5,83,232,0,0.43,0
SKU10201,Electronics,25.8,32.1,8.7,37.96,45.34,33.31,108,134,0,1.69,1
SKU10202,Grocery,3.29,4.83,-5.56,4.77,4.92,4.51,76,152,1,0.1,1
SKU10203,Apparel,26.68,33.06,4.76,41.67,39.56,40.92,53,332,1,0.09,1
SKU10204,Apparel,49.84,79.64,4.25,68.0,88.05,69.62,22,90,0,1.04,0
SKU10205,Apparel,9.55,15.03,-5.18,14.38,14.13,15.39,104,60,1,0.07,0
SKU10206,Grocery,2.48,3.32,2.25,3.49,4.27,3.97,93,160,1,0.03,1
SKU10207,Grocery,4.04,6.38,2.27,6.41,6.02,6.61,38,138,1,0.09,0
SKU10208,PersonalCare,7.47,9.75,3.12,11.06,10.97,11.11,72,41,0,2.46,0
SKU10209,PersonalCare,3.34,4.26,-0.95,4.46,4.57,5.06,66,184,0,0.95,0
SKU10210,Grocery,1.24,1.76,3.33,1.66,1.58,1.5,75,273,0,1.22,1
SKU10211,Electronics,50.31,65.83,5.64,86.05,74.74,68.75,102,54,0,0.56,0
SKU10212,Grocery,6.35,9.39,-2.51,9.74,9.7,9.86,123,304,0,0.42,0
SKU10213,Household,15.08,23.23,-0.03,23.36,20.16,22.39,100,339,1,0.1,0
SKU10214,Grocery,3.47,5.13,3.95,4.85,4.87,4.05,77,134,0,1.13,1
SKU10215,Grocery,6.51,9.92,-2.1,9.18,9.43,9.04,47,108,1,0.07,0
SKU10216,Grocery,3.23,5.52,5.01,3.96,4.05,4.37,49,306,0,1.48,1
SKU10217,PersonalCare,3.19,5.72,1.57,4.94,4.46,4.66,69,216,0,1.61,0
SKU10218,Electronics,42.2,52.5,5.19,61.3,51.48,57.22,14,105,0,2.4,0
SKU10219,Grocery,5.55,8.7,-10.55,8.87,7.85,7.63,72,264,0,2.26,0
SKU10220,Household,8.45,10.25,5.37,13.71,12.49,12.03,32,53,0,1.75,0
SKU10221,Household,6.18,9.35,3.51,9.07,10.24,8.66,65,363,0,2.33,0
SKU10222,Electronics,45.92,66.17,4.23,69.07,56.33,67.34,72,246,1,0.07,0
SKU10223,Household,9.27,11.17,-1.26,14.73,12.44,11.85,140,138,1,0.05,1
SKU10224,Household,8.48,14.93,8.23,11.95,13.46,12.18,55,24,0,1.93,1
SKU10225,Grocery,4.0,5.74,-1.48,6.24,6.25,5.85,79,110,0,0.65,0
SKU10226,Electronics,53.13,79.97,5.3,66.33,76.02,68.25,73,139,0,1.02,1
SKU10227,PersonalCare,9.66,16.02,1.23,14.7,17.23,13.6,45,148,1,0.02,0
SKU10228,Electronics,47.6,73.97,-6.05,67.59,66.74,74.88,58,22,1,0.04,0
SKU10229,PersonalCare,5.58,9.58,4.16,8.2,9.01,8.17,38,13,1,0.05,1
SKU10230,Grocery,4.1,5.08,1.75,5.47,6.64,6.01,62,164,1,0.06,1
SKU10231,Grocery,4.55,5.54,-1.46,6.17,5.67,5.84,65,227,0,0.97,1
SKU10232,PersonalCare,2.73,3.58,0.92,3.77,4.24,4.41,57,97,0,1.33,0
SKU10233,Electronics,75.13,118.45,12.56,108.73,115.53,97.29,42,25,0,1.32,1
SKU10234,Household,17.1,26.88,-1.15,23.18,22.37,24.3,56,7,1,0.07,0
SKU10235,Household,8.07,10.57,5.55,10.36,14.12,10.84,28,242,0,0.7,0
SKU10236,Grocery,4.6,5.67,0.91,7.84,6.67,6.4,56,205,1,0.08,1
SKU10237,Apparel,10.02,15.25,2.31,15.26,17.64,15.99,73,95,1,0.05,0
SKU10238,Household,10.8,18.81,5.36,14.51,13.85,16.43,90,150,0,1.46,1
SKU10239,Household,5.44,7.13,5.31,7.65,7.49,8.11,92,91,0,1.83,0
SKU10240,Apparel,15.15,22.07,3.2,21.78,23.8,22.92,44,306,1,0.05,0
SKU10241,PersonalCare,7.75,13.19,-2.46,11.64,11.02,12.65,27,116,0,0.85,0
SKU10242,PersonalCare,4.2,7.1,2.66,5.63,7.02,4.8,34,87,0,1.85,1
SKU10243,Household,4.85,7.62,2.43,6.62,6.85,6.0,18,249,0,1.56,0
SKU10244,Grocery,2.99,4.93,-0.87,4.6,3.58,4.21,48,357,0,0.51,1
SKU10245,Grocery,2.71,3.95,-2.75,4.88,4.5,3.31,84,134,0,0.99,0
SKU10246,Household,6.9,11.38,6.41,10.61,9.94,10.58,32,343,0,0.64,0
SKU10247,Grocery,2.13,2.72,-3.11,3.1,3.16,2.93,54,345,0,1.15,1
SKU10248,Grocery,5.68,7.21,4.27,7.4,8.17,8.23,21,152,1,0.09,0
SKU10249,Grocery,3.09,4.74,-1.46,4.71,4.93,4.5,87,163,1,0.1,0
SKU10250,PersonalCare,7.3,12.3,4.19,9.7,11.6,10.85,81,57,0,1.55,1
SKU10251,Grocery,1.68,2.93,-6.3,2.64,1.86,2.54,57,27,0,0.47,1
SKU10252,Grocery,2.68,3.96,5.04,3.83,4.13,3.49,61,351,0,0.74,0
SKU10253,PersonalCare,12.26,18.71,0.28,16.76,15.15,16.05,40,193,1,0.06,0
SKU10254,Electronics,30.24,54.27,-2.29,48.45,45.33,42.37,16,361,1,0.05,1
SKU10255,Apparel,15.87,27.63,9.46,22.68,23.02,22.5,20,246,0,1.34,1
SKU10256,Household,20.42,30.6,1.41,28.11,32.03,27.6,47,51,1,0.08,0
SKU10257,PersonalCare,5.98,8.29,2.39,8.69,7.3,7.55,25,85,1,0.02,1
SKU10258,PersonalCare,11.77,15.99,2.17,20.49,16.99,14.47,33,72,1,0.07,0
SKU10259,Electronics,29.98,42.19,4.59,45.08,53.66,42.9,118,20,0,1.88,0
SKU10260,PersonalCare,4.82,5.94,-0.6,7.11,8.88,8.51,34,340,1,0.02,1
SKU10261,Household,7.76,9.97,7.96,9.75,9.93,12.37,65,302,1,0.06,1
SKU10262,Household,6.25,9.4,-1.67,10.39,8.68,8.85,55,146,0,1.56,0
SKU10263,Apparel,16.28,23.79,-0.64,21.2,20.98,31.37,38,317,0,1.27,0
SKU10264,Electronics,20.17,27.78,2.35,29.5,28.85,25.98,39,61,1,0.07,0
SKU10265,Grocery,2.16,3.22,10.06,3.07,3.55,2.87,42,24,1,0.02,0
SKU10266,Household,14.36,19.94,-0.34,20.79,23.37,19.41,94,243,0,2.5,0
SKU10267,Grocery,3.68,6.56,3.14,5.34,5.01,5.37,13,351,0,0.68,0
SKU10268,PersonalCare,7.44,9.41,-0.21,9.6,10.15,12.35,35,219,0,1.76,0
SKU10269,Household,16.98,23.21,-1.46,24.28,21.37,22.13,34,236,0,0.82,0
SKU10270,Grocery,1.59,2.71,2.7,2.13,2.18,2.32,30,34,0,1.5,0
SKU10271,PersonalCare,1.56,2.26,7.5,2.04,2.45,2.67,47,52,0,0.7,0
SKU10272,PersonalCare,13.25,17.85,-3.7,18.81,19.94,15.64,47,318,0,2.34,0
SKU10273,Apparel,7.52,12.75,2.52,11.83,12.22,11.17,26,28,0,2.15,0
SKU10274,Household,8.25,14.31,3.67,12.23,13.24,11.52,88,176,0,1.57,1
SKU10275,Electronics,21.5,27.32,0.68,29.26,35.11,32.32,80,335,0,1.84,1
SKU10276,Grocery,1.1,1.93,0.32,1.73,1.76,1.34,55,318,0,0.68,1
SKU10277,Grocery,3.35,4.78,-1.61,5.59,4.52,5.4,46,229,0,1.06,1
SKU10278,Grocery,4.28,7.24,-0.12,5.55,6.74,5.75,65,124,1,0.04,1
SKU10279,Household,5.47,9.31,-0.78,7.07,7.19,8.19,49,350,0,2.27,1
SKU10280,Apparel,4.42,6.11,5.31,7.39,5.22,6.4,34,304,1,0.05,0
SKU10281,Grocery,3.98,5.96,-0.87,5.49,4.9,5.38,58,106,1,0.08,1
SKU10282,Grocery,8.14,11.47,2.79,12.66,11.77,12.69,29,169,0,0.56,0
SKU10283,Apparel,6.36,9.5,6.58,8.69,10.15,7.82,36,111,1,0.09,0
SKU10284,PersonalCare,8.36,11.34,-2.42,12.48,13.05,9.82,35,252,0,2.05,0
SKU10285,PersonalCare,6.72,9.25,-2.1,10.28,8.35,8.9,26,89,0,1.38,0
SKU10286,Apparel,6.02,7.45,1.72,7.81,8.59,7.68,76,296,1,0.04,1
SKU10287,PersonalCare,9.34,11.87,-0.64,14.95,14.85,12.28,79,140,0,2.1,1
SKU10288,Household,8.59,14.45,5.46,11.72,12.97,12.89,72,55,0,1.18,0
SKU10289,Apparel,12.99,19.07,4.69,18.83,18.57,18.01,44,226,0,0.68,0
SKU10290,Household,14.05,19.15,2.81,19.68,19.23,20.32,65,53,0,0.81,1
